Word,Frequency
reese,874
angel,664
clark,472
caitlin,449
cc,274
like,238
player,230
game,217
class,191
wnba,171
shes,169
one,148
girl,131
get,124
cant,124
basketball,124
people,120
play,118
see,115
dont,112
know,111
black,103
team,102
would,100
got,100
look,97
better,95
thats,95
trash,95
never,94
good,92
go,90
way,89
white,89
sport,87
even,87
jealous,84
make,81
need,81
woman,80
time,79
thing,77
racist,77
love,77
show,75
think,74
year,73
championship,70
nothing,66
hate,66
stop,66
person,64
ever,64
im,63
court,63
great,60
act,60
want,59
much,59
catlin,57
video,56
caitlyn,56
watch,56
let,55
talk,55
first,54
lsu,54
didnt,54
going,53
bad,52
talent,52
still,51
lol,51
playing,50
ring,50
back,50
point,48
best,48
big,47
always,47
could,47
fan,47
coach,46
win,45
every,45
say,45
u,45
league,45
ghetto,45
jealousy,45
made,44
well,44
really,44
bully,43
reece,43
fake,43
come,41
ball,41
yall,41
around,40
womens,39
right,39
behavior,38
take,38
youre,38
doesnt,38
face,37
said,36
respect,36
beat,36
reason,36
ar,36
thug,36
reeses,36
skill,35
watching,34
put,34
true,34
seen,34
hand,33
gesture,33
care,33
female,33
disrespect,33
getting,33
curry,32
shot,32
suck,32
who,32
bos,31
far,31
b,31
bird,30
sportsmanship,30
loser,30
isnt,30
many,30
as,30
level,30
nba,30
lady,29
goat,29
another,29
two,29
keep,29
shit,29
little,29
showed,29
young,28
life,28
classless,27
clown,27
maybe,27
attitude,27
fact,27
eye,27
also,26
anything,26
give,26
real,26
disrespectful,26
iowa,26
day,26
rebound,26
hair,26
eyelash,26
call,26
someone,25
mean,25
joke,25
talking,25
steph,25
humble,24
everyone,24
season,24
tell,24
help,24
making,24
god,24
low,24
yes,24
man,23
trying,23
child,23
guy,23
karma,23
started,23
played,23
angle,23
showing,22
na,22
racism,22
done,22
professional,22
feel,22
v,22
stupid,22
double,22
college,22
lot,21
grow,21
anyone,21
crap,21
c,21
attention,21
zero,21
enough,21
ive,21
immature,21
matter,21
baby,21
work,20
wrong,20
wasnt,20
devil,20
high,20
hater,20
without,20
couldnt,20
long,20
poor,20
others,20
mouth,20
fool,19
national,19
last,19
south,19
hope,19
