Word,Frequency
warrior,116
lakers,104
game,77
ad,60
team,56
coach,48
get,48
like,46
curry,38
series,37
ball,37
foul,33
lebron,32
shot,29
video,28
play,28
ref,27
make,26
think,25
song,25
dont,25
one,24
still,24
paint,23
klay,22
win,22
call,21
good,21
big,21
lol,20
got,20
point,18
fan,18
great,18
see,18
throw,17
need,17
going,17
free,16
poole,16
always,16
time,15
put,15
even,15
end,15
nick,15
cant,15
defense,14
go,14
dennis,14
didnt,14
last,13
screen,13
hand,13
would,13
playing,13
man,13
much,13
music,13
shooting,13
back,13
right,13
shoot,13
really,13
look,13
kerr,12
know,12
line,12
played,12
want,12
called,12
wiggins,12
im,12
nba,12
three,12
rim,12
people,12
gsw,12
davis,11
say,11
short,11
biased,11
way,11
draymond,11
minute,11
let,10
love,10
take,10
getting,10
breakdown,10
bron,10
th,10
guy,10
well,9
arm,9
jump,9
na,9
best,9
long,9
watch,9
playoff,9
player,9
trying,9
vanderbilt,9
start,9
inside,9
every,9
better,9
old,9
he,9
sure,9
v,8
never,8
first,8
also,8
season,8
anymore,8
hit,8
channel,8
another,8
bias,8
second,8
da,8
steph,8
keep,8
pretty,8
feel,8
went,8
intro,8
attack,8
something,8
lost,8
enough,8
away,8
funny,8
said,8
talk,8
basket,7
lot,7
two,7
gon,7
lmao,7
u,7
stop,7
basketball,7
bad,7
block,7
beat,7
analysis,6
lose,6
thats,6
golden,6
state,6
giving,6
theyre,6
give,6
mean,6
could,6
dub,6
quarter,6
weak,6
fouled,6
clearly,6
took,6
knicks,6
head,6
come,6
final,6
missed,6
remember,6
jp,6
king,6
ft,6
reason,6
whole,6
thing,6
sound,6
looney,6
shit,6
difference,6
matter,6
isnt,6
illegal,6
easy,5
wait,5
either,5
la,5
run,5
many,5
almost,5
able,5
control,5
salty,5
bballbreakdown,5
high,5
hate,5
n,5
watched,5
schroder,5
insane,5
especially,5
saw,5
ta,5
job,5
timeout,5
small,5
around,5
offense,5
bench,5
behind,5
someone,5
tell,5
making,5
number,5
since,5
doesnt,5
steve,5
pt,5
shouldve,5
thought,5
work,5
break,5
seen,5
adjustment,4
ive,4
eventually,4
already,4
might,4
new,4
change,4
made,4
adjust,4
please,4
denver,4
without,4
presence,4
yea,4
actually,4
stuff,4
rd,4
guess,4
championship,4
league,4
live,4
g,4
guarding,4
wont,4
incredible,4
aint,4
shroeder,4
yet,4
deep,4
nothing,4
wrong,4
background,4
seem,4
problem,4
pas,4
choice,4
try,4
kuminga,4
full,4
entire,4
close,4
laker,4
report,4
lebrons,4
favor,4
bit,4
rule,4
klays,4
left,4
instead,4
miss,4
agree,4
court,4
defensive,4
w,4
hard,4
anthony,4
healthy,4
imagine,4
hope,4
next,4
use,3
step,3
layup,3
hear,3
foot,3
die,3
rest,3
silly,3
night,3
must,3
defensively,3
abuse,3
drive,3
outside,3
regardless,3
showing,3
pick,3
half,3
winning,3
knew,3
cry,3
anything,3
unless,3
watching,3
l,3
bucket,3
losing,3
showed,3
pause,3
truth,3
boy,3
year,3
nd,3
as,3
running,3
nugget,3
yall,3
honest,3
clear,3
los,3
stay,3
lane,3
quite,3
towards,3
angeles,3
travel,3
r,3
experience,3
jimmy,3
tear,3
etc,3
moving,3
wasnt,3
shroder,3
champ,3
tech,3
sent,3
least,3
jordan,3
there,3
finally,3
awarded,3
holding,3
ham,3
darvin,3
perimeter,3
schroeder,3
advantage,3
early,3
nah,3
possession,3
spot,3
done,3
show,3
draw,3
chance,3
used,3
pressure,3
lil,3
thompson,3
guard,3
fight,3
god,3
perfect,3
doubt,3
sc,3
true,3
dude,3
started,3
everyone,3
site,3
simply,3
help,3
day,3
title,3
though,3
excuse,3
size,3
career,3
tho,3
interesting,3
week,2
gona,2
st,2
sit,2
beyond,2
schroders,2
loose,2
sorry,2
front,2
role,2
aka,2
main,2
young,2
longer,2
lo,2
ar,2
died,2
cool,2
oh,2
p,2
kobe,2
drop,2
decided,2
found,2
cost,2
fucking,2
fine,2
thumbnail,2
lmaooo,2
wan,2
match,2
tall,2
seeing,2
id,2
fix,2
totally,2
sustainable,2
different,2
level,2
couple,2
easily,2
settle,2
x,2
analyzing,2
referee,2
hell,2
led,2
propaganda,2
seems,2
theyve,2
expect,2
wanted,2
talking,2
wonder,2
piece,2
basically,2
ignore,2
challenge,2
except,2
beginning,2
average,2
bball,2
eliminate,2
along,2
touch,2
wigging,2
telling,2
werent,2
celtic,2
whenever,2
commentary,2
absurd,2
men,2
clock,2
content,2
meanwhile,2
height,2
happen,2
area,2
typical,2
lineup,2
dlo,2
low,2
replay,2
fact,2
dominating,2
post,2
affect,2
pooles,2
proceeds,2
bruh,2
present,2
probably,2
voice,2
immediately,2
roll,2
coverage,2
less,2
side,2
hence,2
row,2
tone,2
disparity,2
happened,2
predictable,2
sacramento,2
fairly,2
ran,2
happens,2
age,2
theme,2
compare,2
unlike,2
biggest,2
itll,2
dis,2
hug,2
maybe,2
throwing,2
york,2
heat,2
b,2
bosten,2
football,2
edit,2
past,2
rating,2
contest,2
handed,2
record,2
smh,2
comment,2
swept,2
little,2
idea,2
annoying,2
idk,2
kind,2
butler,2
embid,2
officiating,2
everything,2
rocket,2
however,2
yeah,2
deal,2
tired,2
drag,2
completely,2
jumpball,2
fell,2
idiot,2
came,2
slasher,2
compete,2
opponent,2
zone,2
lie,2
shouldnt,2
market,2
hold,2
else,2
everybody,2
debate,2
moment,2
vando,2
due,2
passing,2
assistant,2
looking,2
late,2
ill,2
dillon,2
obviously,2
noticed,2
afraid,2
brook,2
act,2
tom,2
clown,2
thib,2
mouth,2
theyll,2
knee,2
spacing,2
pull,2
harden,2
enjoy,2
length,2
likely,2
threw,2
teammate,2
grabbing,2
catch,2
narrator,2
glad,2
thinking,2
roster,2
thank,2
force,2
kinda,2
mid,2
range,2
throughout,2
kid,2
chef,2
constant,2
taking,2
russell,2
opening,2
mega,2
haha,2
poor,2
script,1
lead,1
course,1
starter,1
knocking,1
stagger,1
unplayable,1
unit,1
outlasted,1
dominance,1
dynasty,1
system,1
rotate,1
bum,1
kiss,1
shut,1
multiple,1
riddled,1
wtf,1
often,1
driving,1
reversed,1
subtle,1
normally,1
regular,1
refers,1
destroy,1
exception,1
caught,1
slowmo,1
land,1
mtfk,1
bringing,1
whistle,1
popcorn,1
athletic,1
timing,1
absolutely,1
handful,1
split,1
eats,1
film,1
indicated,1
gargle,1
exactly,1
dickriding,1
prisoner,1
ok,1
ballyea,1
hugged,1
middle,1
party,1
effective,1
strategy,1
unfair,1
ready,1
punish,1
barnes,1
horrific,1
outta,1
yelling,1
harrison,1
mad,1
tatumbrown,1
trainer,1
explained,1
definetly,1
giannis,1
jokic,1
stand,1
punk,1
probly,1
coaching,1
hmm,1
era,1
slowly,1
fizzling,1
determined,1
health,1
upset,1
smaller,1
named,1
built,1
ago,1
supposed,1
concerned,1
beating,1
bro,1
protecting,1
autopilot,1
fully,1
rested,1
set,1
tried,1
injury,1
wax,1
sadness,1
somehow,1
sideline,1
footer,1
wrapped,1
gametying,1
iyak,1
despite,1
stepped,1
goode,1
count,1
killing,1
worked,1
prolong,1
battle,1
style,1
tonight,1
blind,1
constantly,1
opposing,1
mark,1
hanging,1
book,1
kc,1
gpii,1
bumpin,1
zaza,1
bump,1
slight,1
unleash,1
curryoffballpossession,1
huge,1
beast,1
tilt,1
wacked,1
pointer,1
wish,1
panicked,1
bank,1
spotlighting,1
lob,1
burninghouseitsfine,1
meme,1
usually,1
hindsight,1
unimaginative,1
wiseman,1
conspiracy,1
chucking,1
hoop,1
frontrunning,1
attempted,1
whooped,1
dawg,1
person,1
glory,1
blame,1
loses,1
felt,1
forgot,1
behold,1
shielded,1
anybody,1
joy,1
revolve,1
shine,1
necessarily,1
moanin,1
dk,1
randle,1
er,1
bchin,1
setting,1
assist,1
eff,1
remove,1
experienced,1
confident,1
gassed,1
inexperienced,1
hole,1
bother,1
turning,1
eveey,1
tatum,1
shrinking,1
plan,1
looked,1
cover,1
official,1
cruising,1
suddenly,1
shutting,1
frustrsting,1
handicap,1
oponent,1
rigged,1
sht,1
strength,1
effort,1
shameless,1
truly,1
prevents,1
hie,1
growing,1
hey,1
answer,1
tv,1
hawthorne,1
happening,1
baseline,1
qtr,1
nathaniel,1
upon,1
fast,1
cookie,1
jar,1
alight,1
may,1
quietly,1
grasp,1
officiated,1
yh,1
pursued,1
butterfly,1
happiness,1
villanova,1
light,1
open,1
maker,1
kevon,1
performs,1
amazingly,1
crunch,1
dpoty,1
mode,1
protector,1
sabonis,1
divincenzo,1
